"","Tanggal","Curah_Hujan","Nama_Stasiun"
"1",2007-01-01,12,"Pegasing"
"2",2007-01-02,0,"Pegasing"
"3",2007-01-03,0,"Pegasing"
"4",2007-01-04,0,"Pegasing"
"5",2007-01-05,0,"Pegasing"
"6",2007-01-06,0,"Pegasing"
"7",2007-01-07,0,"Pegasing"
"8",2007-01-08,0,"Pegasing"
"9",2007-01-09,2.1,"Pegasing"
"10",2007-01-10,0.5,"Pegasing"
"11",2007-01-11,3.5,"Pegasing"
"12",2007-01-12,0,"Pegasing"
"13",2007-01-13,0,"Pegasing"
"14",2007-01-14,0,"Pegasing"
"15",2007-01-15,0,"Pegasing"
"16",2007-01-16,5,"Pegasing"
"17",2007-01-17,13,"Pegasing"
"18",2007-01-18,0,"Pegasing"
"19",2007-01-19,0,"Pegasing"
"20",2007-01-20,0,"Pegasing"
"21",2007-01-21,0,"Pegasing"
"22",2007-01-22,21,"Pegasing"
"23",2007-01-23,42,"Pegasing"
"24",2007-01-24,10,"Pegasing"
"25",2007-01-25,0,"Pegasing"
"26",2007-01-26,0,"Pegasing"
"27",2007-01-27,0,"Pegasing"
"28",2007-01-28,0,"Pegasing"
"29",2007-01-29,0,"Pegasing"
"30",2007-01-30,13,"Pegasing"
"31",2007-01-31,26,"Pegasing"
"32",2007-02-01,28,"Pegasing"
"33",2007-02-02,0,"Pegasing"
"34",2007-02-03,37.5,"Pegasing"
"35",2007-02-04,0,"Pegasing"
"36",2007-02-05,4.5,"Pegasing"
"37",2007-02-06,0,"Pegasing"
"38",2007-02-07,0,"Pegasing"
"39",2007-02-08,0,"Pegasing"
"40",2007-02-09,42.5,"Pegasing"
"41",2007-02-10,2,"Pegasing"
"42",2007-02-11,16,"Pegasing"
"43",2007-02-12,39,"Pegasing"
"44",2007-02-13,0,"Pegasing"
"45",2007-02-14,43.5,"Pegasing"
"46",2007-02-15,0,"Pegasing"
"47",2007-02-16,24,"Pegasing"
"48",2007-02-17,15,"Pegasing"
"49",2007-02-18,0,"Pegasing"
"50",2007-02-19,0,"Pegasing"
"51",2007-02-20,0,"Pegasing"
"52",2007-02-21,32,"Pegasing"
"53",2007-02-22,0,"Pegasing"
"54",2007-02-23,0,"Pegasing"
"55",2007-02-24,22,"Pegasing"
"56",2007-02-25,0,"Pegasing"
"57",2007-02-26,0,"Pegasing"
"58",2007-02-27,0,"Pegasing"
"59",2007-02-28,0,"Pegasing"
"60",2007-03-01,0,"Pegasing"
"61",2007-03-02,9.5,"Pegasing"
"62",2007-03-03,10,"Pegasing"
"63",2007-03-04,0,"Pegasing"
"64",2007-03-05,0,"Pegasing"
"65",2007-03-06,0,"Pegasing"
"66",2007-03-07,11,"Pegasing"
"67",2007-03-08,12.5,"Pegasing"
"68",2007-03-09,19,"Pegasing"
"69",2007-03-10,20.5,"Pegasing"
"70",2007-03-11,35.5,"Pegasing"
"71",2007-03-12,4,"Pegasing"
"72",2007-03-13,19.5,"Pegasing"
"73",2007-03-14,0.7,"Pegasing"
"74",2007-03-15,22,"Pegasing"
"75",2007-03-16,10,"Pegasing"
"76",2007-03-17,43,"Pegasing"
"77",2007-03-18,13,"Pegasing"
"78",2007-03-19,0,"Pegasing"
"79",2007-03-20,95,"Pegasing"
"80",2007-03-21,38,"Pegasing"
"81",2007-03-22,10,"Pegasing"
"82",2007-03-23,0,"Pegasing"
"83",2007-03-24,21,"Pegasing"
"84",2007-03-25,0,"Pegasing"
"85",2007-03-26,0,"Pegasing"
"86",2007-03-27,10,"Pegasing"
"87",2007-03-28,0,"Pegasing"
"88",2007-03-29,42,"Pegasing"
"89",2007-03-30,10,"Pegasing"
"90",2007-03-31,10,"Pegasing"
"91",2007-04-01,0,"Pegasing"
"92",2007-04-02,27,"Pegasing"
"93",2007-04-03,0,"Pegasing"
"94",2007-04-04,0,"Pegasing"
"95",2007-04-05,0,"Pegasing"
"96",2007-04-06,0,"Pegasing"
"97",2007-04-07,62.5,"Pegasing"
"98",2007-04-08,0,"Pegasing"
"99",2007-04-09,0,"Pegasing"
"100",2007-04-10,22.5,"Pegasing"
"101",2007-04-11,0,"Pegasing"
"102",2007-04-12,12,"Pegasing"
"103",2007-04-13,50,"Pegasing"
"104",2007-04-14,3,"Pegasing"
"105",2007-04-15,0,"Pegasing"
"106",2007-04-16,0,"Pegasing"
"107",2007-04-17,0,"Pegasing"
"108",2007-04-18,0,"Pegasing"
"109",2007-04-19,0,"Pegasing"
"110",2007-04-20,0,"Pegasing"
"111",2007-04-21,93,"Pegasing"
"112",2007-04-22,0,"Pegasing"
"113",2007-04-23,10,"Pegasing"
"114",2007-04-24,0,"Pegasing"
"115",2007-04-25,0,"Pegasing"
